second,Volt
-6.70E-04,8.44E-01
-6.67E-04,8.44E-01
-6.64E-04,8.44E-01
-6.62E-04,8.04E-01
-6.59E-04,8.04E-01
-6.57E-04,8.04E-01
-6.54E-04,8.04E-01
-6.52E-04,7.64E-01
-6.49E-04,7.64E-01
-6.47E-04,7.64E-01
-6.44E-04,7.24E-01
-6.41E-04,7.64E-01
-6.39E-04,7.24E-01
-6.36E-04,7.24E-01
-6.34E-04,6.83E-01
-6.31E-04,7.24E-01
-6.29E-04,6.83E-01
-6.26E-04,6.83E-01
-6.24E-04,6.43E-01
-6.21E-04,6.43E-01
-6.18E-04,6.43E-01
-6.16E-04,6.43E-01
-6.13E-04,6.43E-01
-6.11E-04,6.03E-01
-6.08E-04,6.03E-01
-6.06E-04,5.63E-01
-6.03E-04,5.63E-01
-6.00E-04,5.63E-01
-5.98E-04,5.63E-01
-5.95E-04,5.23E-01
-5.93E-04,5.23E-01
-5.90E-04,4.82E-01
-5.88E-04,4.82E-01
-5.85E-04,4.82E-01
-5.83E-04,4.42E-01
-5.80E-04,4.42E-01
-5.77E-04,4.02E-01
-5.75E-04,4.02E-01
-5.72E-04,4.02E-01
-5.70E-04,3.62E-01
-5.67E-04,3.62E-01
-5.65E-04,3.62E-01
-5.62E-04,3.22E-01
-5.60E-04,3.22E-01
-5.57E-04,3.22E-01
-5.54E-04,2.81E-01
-5.52E-04,2.81E-01
-5.49E-04,2.81E-01
-5.47E-04,2.41E-01
-5.44E-04,2.41E-01
-5.42E-04,2.01E-01
-5.39E-04,2.01E-01
-5.36E-04,1.61E-01
-5.34E-04,1.61E-01
-5.31E-04,1.61E-01
-5.29E-04,1.21E-01
-5.26E-04,1.21E-01
-5.24E-04,8.04E-02
-5.21E-04,8.04E-02
-5.19E-04,8.04E-02
-5.16E-04,4.02E-02
-5.13E-04,4.02E-02
-5.11E-04,0.00E+00
-5.08E-04,0.00E+00
-5.06E-04,0.00E+00
-5.03E-04,0.00E+00
-5.01E-04,-4.02E-02
-4.98E-04,-8.04E-02
-4.96E-04,-8.04E-02
-4.93E-04,-8.04E-02
-4.90E-04,-1.21E-01
-4.88E-04,-1.21E-01
-4.85E-04,-1.61E-01
-4.83E-04,-1.21E-01
-4.80E-04,-1.61E-01
-4.78E-04,-2.01E-01
-4.75E-04,-2.01E-01
-4.72E-04,-2.01E-01
-4.70E-04,-2.01E-01
-4.67E-04,-2.41E-01
-4.65E-04,-2.41E-01
-4.62E-04,-2.81E-01
-4.60E-04,-3.22E-01
-4.57E-04,-2.81E-01
-4.55E-04,-3.22E-01
-4.52E-04,-3.62E-01
-4.49E-04,-3.62E-01
-4.47E-04,-3.62E-01
-4.44E-04,-3.62E-01
-4.42E-04,-4.02E-01
-4.39E-04,-4.02E-01
-4.37E-04,-4.42E-01
-4.34E-04,-4.42E-01
-4.32E-04,-4.82E-01
-4.29E-04,-4.82E-01
-4.26E-04,-4.82E-01
-4.24E-04,-5.23E-01
-4.21E-04,-5.23E-01
-4.19E-04,-5.23E-01
-4.16E-04,-5.63E-01
-4.14E-04,-5.63E-01
-4.11E-04,-5.63E-01
-4.08E-04,-6.03E-01
-4.06E-04,-6.03E-01
-4.03E-04,-6.03E-01
-4.01E-04,-6.43E-01
-3.98E-04,-6.43E-01
-3.96E-04,-6.43E-01
-3.93E-04,-6.83E-01
-3.91E-04,-6.83E-01
-3.88E-04,-7.24E-01
-3.85E-04,-7.24E-01
-3.83E-04,-7.24E-01
-3.80E-04,-7.24E-01
-3.78E-04,-7.24E-01
-3.75E-04,-7.64E-01
-3.73E-04,-7.64E-01
-3.70E-04,-7.64E-01
-3.68E-04,-7.64E-01
-3.65E-04,-8.04E-01
-3.62E-04,-8.04E-01
-3.60E-04,-8.04E-01
-3.57E-04,-8.04E-01
-3.55E-04,-8.44E-01
-3.52E-04,-8.44E-01
-3.50E-04,-8.84E-01
-3.47E-04,-8.44E-01
-3.44E-04,-8.84E-01
-3.42E-04,-8.84E-01
-3.39E-04,-8.84E-01
-3.37E-04,-8.84E-01
-3.34E-04,-8.84E-01
-3.32E-04,-9.25E-01
-3.29E-04,-9.25E-01
-3.27E-04,-9.25E-01
-3.24E-04,-9.25E-01
-3.21E-04,-9.65E-01
-3.19E-04,-9.65E-01
-3.16E-04,-9.65E-01
-3.14E-04,-9.65E-01
-3.11E-04,-9.65E-01
-3.09E-04,-9.65E-01
-3.06E-04,-9.65E-01
-3.04E-04,-1.01E+00
-3.01E-04,-1.01E+00
-2.98E-04,-1.01E+00
-2.96E-04,-1.01E+00
-2.93E-04,-1.01E+00
-2.91E-04,-1.01E+00
-2.88E-04,-1.01E+00
-2.86E-04,-1.01E+00
-2.83E-04,-1.05E+00
-2.80E-04,-1.05E+00
-2.78E-04,-1.05E+00
-2.75E-04,-1.05E+00
-2.73E-04,-1.05E+00
-2.70E-04,-1.01E+00
-2.68E-04,-1.05E+00
-2.65E-04,-1.05E+00
-2.63E-04,-1.05E+00
-2.60E-04,-1.05E+00
-2.57E-04,-1.05E+00
-2.55E-04,-1.05E+00
-2.52E-04,-1.05E+00
-2.50E-04,-1.05E+00
-2.47E-04,-1.05E+00
-2.45E-04,-1.05E+00
-2.42E-04,-1.05E+00
-2.40E-04,-1.05E+00
-2.37E-04,-1.01E+00
-2.34E-04,-1.05E+00
-2.32E-04,-1.05E+00
-2.29E-04,-1.05E+00
-2.27E-04,-1.05E+00
-2.24E-04,-1.05E+00
-2.22E-04,-1.05E+00
-2.19E-04,-1.01E+00
-2.16E-04,-1.01E+00
-2.14E-04,-1.05E+00
-2.11E-04,-1.01E+00
-2.09E-04,-1.01E+00
